periods_n,posts_total,vol_tv_mean,vol_tv_p90,turn_rate,entropy_mean,hhi_mean,top1_mean
5,735,0.4271537150010072,0.5756827204221837,0.5,2.528429473030004,0.10113892662347505,0.1688199314588671
11,224,0.2861152398226702,0.422703818369453,0.1,1.4196905059601095,0.3319486532812444,0.47634272475603745
5,507,0.4291412067900231,0.5172560892328705,0.75,2.4550917956173866,0.1116950031449004,0.19171173245905776
3,977,0.307482900844291,0.3742674838059036,1,2.5036501870952055,0.11095616417510266,0.20459252938210307
4,789,0.29003830165398603,0.3529664484137244,0.3333333333333333,2.426952558981165,0.14585476191867167,0.2997194234522707
22,950,0.4049527189047785,0.47416413373860183,0.7142857142857143,2.3421765432510915,0.12228365338453763,0.21411852843195334
15,790,0.41177425729375994,0.624475014365647,0.2857142857142857,2.3390954715114387,0.14634062046768637,0.2789696862308338
10,975,0.28929937514595505,0.34388963714545107,0.6666666666666666,2.5351398104906546,0.1025529286011699,0.18930511398198
9,881,0.18130698655663782,0.22841048017237303,0.375,1.1660212635437273,0.40345675813909193,0.5412512907271675
5,995,0.26222407913607887,0.2975000417401758,0.75,2.827379358714327,0.07138006001757627,0.13552294995266564
3,962,0.293981716735537,0.3590870332689678,1,2.716788390748541,0.08819507626346668,0.17046841224775458
9,533,0.3992763419126709,0.5836466317063332,0.625,2.4503645131109755,0.11418323265903381,0.21970289734355536
5,815,0.3487284897948557,0.3697911069457461,0.5,2.568824554242439,0.11004282072077436,0.22638166458398415
2,971,0.23572472432576058,0.23572472432576058,0,2.7378391782535676,0.10037472032763593,0.23904167220229394
8,1011,0.2393950974087779,0.31272156333532297,0.5714285714285714,2.6741643213298456,0.08924636141273136,0.16125412889070107
36,949,0.4941288301219748,0.6262626262626263,0.6857142857142857,2.0060857736389885,0.16854919348493483,0.2705610190839809
10,980,0.3541894614746363,0.3967852119750854,0.8888888888888888,2.8837772678587483,0.07039364157824823,0.1349077232576731
9,879,0.2980489731051873,0.4023735515989413,0,2.1046484262244394,0.23973900877705034,0.4272154985383746
8,934,0.31279389674207714,0.47952808284184123,0.7142857142857143,2.5321511111585147,0.11658588535987005,0.2096606536090284
