period,posts_n,top_topic,top1_share,entropy,hhi,vol_tv,vol_js,turn_top1
2025/4/1,31,8,0.16129032258064516,2.6487315973232626,0.0801248699271592,,,
2025/5/1,92,8,0.15217391304347827,2.6340163530243252,0.09286389413988658,0.44775596072931273,0.2207257661042377,0
2025/6/1,304,4,0.17105263157894737,2.7272405547248444,0.08654345567867036,0.37843249427917613,0.15081830683612793,1
2025/7/1,295,4,0.1288135593220339,2.7875373837120856,0.07456478023556448,0.2519179304192685,0.05643082556594111,0
2025/8/1,13,8,0.23076923076923078,1.844621476365503,0.1715976331360947,0.6305084745762712,0.3135657716029268,1
2023/6/1,19,7,0.2631578947368421,1.9826232826520047,0.1634349030470914,,,
2023/7/1,17,17,0.4117647058823529,1.593443285659087,0.24567474048442905,0.6191950464396284,0.3145889124243113,1
2023/8/1,27,17,0.37037037037037035,1.607930908663358,0.26474622770919065,0.4008714596949891,0.17457579884149949,0
2023/9/1,34,17,0.38235294117647056,1.877881125537256,0.22145328719723184,0.23202614379084965,0.08491457190851351,0
2023/10/1,22,17,0.4090909090909091,1.8295429402149286,0.2231404958677686,0.30213903743315507,0.12823038217407037,0
2023/11/1,19,17,0.42105263157894735,1.4301030049597612,0.29639889196675895,0.2583732057416268,0.11661641074934158,0
2023/12/1,28,17,0.42857142857142855,1.5114832475108515,0.298469387755102,0.1917293233082707,0.10817829929079387,0
2024/10/1,22,17,0.5909090909090909,1.2995530335744938,0.3884297520661158,0.36363636363636365,0.1414019579528516,0
2024/11/1,16,17,0.5625,0.9470571522825082,0.4296875,0.25568181818181823,0.10634458551072944,0
2024/12/1,10,17,0.6,0.8979457248567797,0.45999999999999996,0.03749999999999999,0.0010621322091055015,0
2025/7/1,10,17,0.8,0.639031859650177,0.6600000000000001,0.2,0.033329760288371715,0
2025/4/1,33,11,0.15151515151515152,2.4647807629859457,0.09641873278236915,,,
2025/5/1,69,11,0.21739130434782608,2.384703727356884,0.12875446334803614,0.42028985507246375,0.1920548925833323,0
2025/6/1,200,0,0.145,2.702752455210146,0.08515,0.4371014492753623,0.1723910607048318,1
2025/7/1,191,28,0.23036649214659685,2.7530405925078734,0.09509059510430085,0.307565445026178,0.08109380878733212,1
2025/8/1,14,12,0.21428571428571427,1.9701814400260842,0.1530612244897959,0.5516080777860882,0.2687778677640927,1
2025/6/1,30,12,0.3,2.0866702552981504,0.16,,,
2025/7/1,889,4,0.15860517435320584,2.784906915390026,0.08428347468939834,0.3909636295463067,0.15616908839884006,1
2025/8/1,58,12,0.15517241379310345,2.6393733905974406,0.08858501783590964,0.2240021721422753,0.07204798073534213,1
2025/4/1,27,1,0.2222222222222222,2.1888701524303302,0.13305898491083673,,,
2025/5/1,170,7,0.34705882352941175,2.465832519460095,0.15653979238754326,0.3742919389978213,0.12695389639496865,1
2025/6/1,291,7,0.2508591065292096,2.6514277235642876,0.11729903992631169,0.22815847988680008,0.04105873034500995,0
2025/7/1,301,7,0.3787375415282392,2.4016798404699466,0.17652123044999501,0.2676644860773367,0.0641894070298396,0
2023/10/1,24,25,0.16666666666666666,2.36173836677077,0.10416666666666667,,,
2023/11/1,44,18,0.18181818181818182,2.366543266725854,0.11157024793388429,0.2803030303030303,0.08439107668262656,1
2023/12/1,36,12,0.1111111111111111,2.663665697804434,0.07561728395061729,0.35858585858585856,0.1458925417835258,1
